S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1351,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,EWS,615,615
1352,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,OPEN,672,619
1353,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,SC,415,400
1354,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,ST,297,286
1355,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,OBC,577,552
1356,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,EWS,571,562
1357,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,OPEN,657,587
1358,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,SC,396,377
1359,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,ST,260,256
1360,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,OBC,587,564
1361,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,EWS,564,543
1362,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,OPEN,626,604
1363,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,SC,327,313
1364,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,ST,251,245
1365,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,OBC,593,550
1366,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,EWS,602,602
1367,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,OPEN,669,627
1368,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,SC,424,423
1369,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,ST,370,295
1370,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,OBC,579,526
1371,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,EWS,560,498
1372,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,OPEN,641,588
1373,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,SC,445,348
1374,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,ST,259,259
1375,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OBC,584,576
1376,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,EWS,570,566
1377,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OPEN,641,605
1378,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,SC,515,446
1379,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,ST,393,343
1380,Round 1,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,OBC,538,520
1381,Round 1,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,EWS,527,517
1382,Round 1,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,OPEN,586,541
1383,Round 1,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,SC,378,364
1384,Round 1,"National Institute of Technology, Rourkela",Computer Science,Group 1,SC,486,485
1385,Round 1,"National Institute of Technology, Rourkela",Computer Science,Group 1,ST,415,393
1386,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OBC,442,423
1387,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,EWS,500,477
1388,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,OPEN,611,519
1389,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,SC,358,339
1390,Round 1,"National Institute of Technology, Silchar",Artificial Intelligence,Group 1,ST,286,247
1391,Round 1,"National Institute of Technology, Silchar",Control & Industrial Automation,Group 1,OBC,418,392
